板块名称,股票代码,股票名称,权重,指数代码,指数名称,更新时间
证券,600030,中信证券,8.5,399975,中证全指证券公司指数,2026-03-13
证券,601688,华泰证券,7.2,399975,中证全指证券公司指数,2026-03-13
证券,600999,招商证券,5.8,399975,中证全指证券公司指数,2026-03-13
证券,600958,东方证券,4.9,399975,中证全指证券公司指数,2026-03-13
证券,601377,兴业证券,4.5,399975,中证全指证券公司指数,2026-03-13
银行,601398,工商银行,12.3,399986,中证银行指数,2026-03-13
银行,601939,建设银行,10.8,399986,中证银行指数,2026-03-13
银行,601288,农业银行,9.5,399986,中证银行指数,2026-03-13
银行,600036,招商银行,8.9,399986,中证银行指数,2026-03-13
银行,601166,兴业银行,6.7,399986,中证银行指数,2026-03-13
保险,601318,中国平安,35.2,399809,中证方正保险指数,2026-03-13
保险,601601,中国太保,18.5,399809,中证方正保险指数,2026-03-13
保险,601628,中国人寿,22.1,399809,中证方正保险指数,2026-03-13
保险,601336,新华保险,12.3,399809,中证方正保险指数,2026-03-13
半导体,688981,中芯国际,9.1,931865,中证半导体指数,2026-03-13
半导体,688256,寒武纪,6.8,931865,中证半导体指数,2026-03-13
半导体,688041,海光信息,6.2,931865,中证半导体指数,2026-03-13
半导体,002371,北方华创,5.9,931865,中证半导体指数,2026-03-13
半导体,600584,长电科技,5.5,931865,中证半导体指数,2026-03-13
5G,600050,中国联通,15.2,931079,中证5G通信主题指数,2026-03-13
5G,000063,中兴通讯,12.8,931079,中证5G通信主题指数,2026-03-13
5G,002415,海康威视,8.5,931079,中证5G通信主题指数,2026-03-13
通信,600487,亨通光电,7.2,931160,中证通信技术指数,2026-03-13
通信,002281,光迅科技,5.8,931160,中证通信技术指数,2026-03-13
医药,000858,五粮液,14.9,000807,食品饮料指数,2026-03-13
医药,600519,贵州茅台,18.5,399997,中证白酒指数,2026-03-13
医药,000568,泸州老窖,8.9,399997,中证白酒指数,2026-03-13
医药,002304,洋河股份,6.2,399997,中证白酒指数,2026-03-13
医疗,300760,迈瑞医疗,25.8,399989,中证医疗指数,2026-03-13
医疗,300015,爱尔眼科,12.3,399989,中证医疗指数,2026-03-13
医疗,688111,金山办公,8.5,931159,中证科创创业50指数,2026-03-13
创新药,688273,天合光能,7.2,931159,中证科创创业50指数,2026-03-13
消费,600887,伊利股份,11.2,399932,中证主要消费指数,2026-03-13
消费,002491,通鼎互联,6.5,399932,中证主要消费指数,2026-03-13
家电,000333,美的集团,22.5,399935,中证可选消费指数,2026-03-13
家电,000651,格力电器,18.3,399935,中证可选消费指数,2026-03-13
新能源,300750,宁德时代,25.6,931151,中证新能源指数,2026-03-13
新能源,002594,比亚迪,18.9,931151,中证新能源指数,2026-03-13
新能源,601012,隆基绿能,12.5,931151,中证新能源指数,2026-03-13
新能源,688599,天合光能,8.5,931151,中证新能源指数,2026-03-13
新能源汽车,002475,立讯精密,9.2,931643,中证新能源汽车指数,2026-03-13
新能源汽车,002460,赣锋锂业,7.8,931643,中证新能源汽车指数,2026-03-13
军工,600893,航发动力,15.2,399967,中证国防指数,2026-03-13
军工,002049,紫光国微,12.5,399967,中证国防指数,2026-03-13
军工,600760,中航沈飞,11.8,399967,中证国防指数,2026-03-13
军工,000768,中航西飞,9.5,399967,中证国防指数,2026-03-13
煤炭,601898,中煤能源,18.5,399998,中证煤炭指数,2026-03-13
煤炭,601088,中国神华,25.6,399998,中证煤炭指数,2026-03-13
煤炭,600188,兖矿能源,12.3,399998,中证煤炭指数,2026-03-13
有色金属,600547,山东黄金,15.8,399937,中证有色金属指数,2026-03-13
有色金属,600489,金钼股份,8.5,399937,中证有色金属指数,2026-03-13
钢铁,600019,宝钢股份,22.5,931107,中证钢铁指数,2026-03-13
钢铁,000709,河钢股份,9.8,931107,中证钢铁指数,2026-03-13
房地产,000002,万科A,18.5,399938,中证房地产指数,2026-03-13
房地产,001979,招商蛇口,12.5,399938,中证房地产指数,2026-03-13
建筑,601668,中国建筑,28.5,399971,中证建筑工程指数,2026-03-13
建筑,601669,中国电建,15.2,399971,中证建筑工程指数,2026-03-13
传媒,300027,华谊兄弟,8.5,399971,中证传媒指数,2026-03-13
传媒,002624,完美世界,7.2,399971,中证传媒指数,2026-03-13
